Area,ISO 3 code,Year,Area type,Electricity source,Is aggregated source,Generation (TWh),Generation YoY change (TWh),Generation YoY change (%),Share of generation (%),Share of generation YoY change (% points),Emissions (MtCO2e),Emissions YoY change (MtCO2e),Emissions YoY change (%),Share of emissions (%),Emissions intensity (gCO2e/kWh),Continent,Ember region,EU member,OECD member,G20 member,G7 member,ASEAN member
World,,2024,Region,Bioenergy,False,701.598,21.258,3.125,2.27,-0.025,152.552,4.589,3.101,1.047,217.435,,,False,False,False,False,False
World,,2024,Region,Clean,True,12651.324,963.034,8.239,40.935,1.5,407.09,34.565,9.279,2.794,32.178,,,False,False,False,False,False
World,,2024,Region,Coal,False,10536.025,144.245,1.388,34.09,-0.971,9532.708,113.257,1.202,65.417,904.773,,,False,False,False,False,False
World,,2024,Region,Demand,True,30906.114,1266.954,4.275,100.0,0.0,,,,,,,,False,False,False,False,False
World,,2024,Region,Fossil,True,18254.79,303.92,1.693,59.065,-1.5,14165.126,213.177,1.528,97.206,775.968,,,False,False,False,False,False
World,,2024,Region,Gas,False,6880.14,182.44,2.724,22.261,-0.336,4079.168,115.058,2.902,27.993,592.89,,,False,False,False,False,False
World,,2024,Region,Hydro,False,4433.694,193.494,4.563,14.346,0.04,105.436,4.602,4.564,0.724,23.781,,,False,False,False,False,False
World,,2024,Region,"Hydro, bioenergy and other renewables",True,5223.733,214.793,4.288,16.902,0.002,261.327,9.192,3.646,1.793,50.027,,,False,False,False,False,False
World,,2024,Region,Nuclear,False,2777.4,79.37,2.942,8.987,-0.116,14.581,0.413,2.915,0.1,5.25,,,False,False,False,False,False
World,,2024,Region,Other fossil,False,838.625,-22.765,-2.643,2.713,-0.193,553.25,-15.139,-2.663,3.797,659.711,,,False,False,False,False,False
World,,2024,Region,Other renewables,False,88.44,0.04,0.045,0.286,-0.012,3.338,0.001,0.03,0.023,37.743,,,False,False,False,False,False
World,,2024,Region,Renewables,True,9873.924,883.664,9.829,31.948,1.616,392.509,34.152,9.53,2.694,39.752,,,False,False,False,False,False
World,,2024,Region,Solar,False,2142.708,478.568,28.758,6.933,1.318,101.993,22.778,28.755,0.7,47.6,,,False,False,False,False,False
World,,2024,Region,Total generation,True,30906.114,1266.954,4.275,100.0,0.0,14572.216,247.742,1.73,100.0,471.499,,,False,False,False,False,False
World,,2024,Region,Wind,False,2507.483,190.303,8.213,8.113,0.295,29.19,2.182,8.079,0.2,11.641,,,False,False,False,False,False
World,,2024,Region,Wind and solar,True,4650.191,668.871,16.8,15.046,1.613,131.183,24.961,23.499,0.9,28.21,,,False,False,False,False,False
World,,2025,Region,Bioenergy,False,705.029,3.431,0.489,2.221,-0.049,153.288,0.736,0.482,1.053,217.421,,,False,False,False,False,False
World,,2025,Region,Clean,True,13529.815,878.491,6.944,42.628,1.693,440.969,33.879,8.322,3.03,32.592,,,False,False,False,False,False
World,,2025,Region,Coal,False,10493.817,-42.208,-0.401,33.062,-1.028,9481.508,-51.2,-0.537,65.148,903.533,,,False,False,False,False,False
World,,2025,Region,Demand,True,31739.347,833.233,2.696,100.0,0.0,,,,,,,,False,False,False,False,False
World,,2025,Region,Fossil,True,18209.532,-45.258,-0.248,57.372,-1.693,14112.779,-52.347,-0.37,96.97,775.022,,,False,False,False,False,False
World,,2025,Region,Gas,False,6908.601,28.461,0.414,21.767,-0.494,4098.681,19.513,0.478,28.162,593.272,,,False,False,False,False,False
World,,2025,Region,Hydro,False,4431.823,-1.871,-0.042,13.963,-0.383,105.385,-0.051,-0.048,0.724,23.779,,,False,False,False,False,False
World,,2025,Region,"Hydro, bioenergy and other renewables",True,5226.271,2.538,0.049,16.466,-0.436,262.048,0.721,0.276,1.801,50.141,,,False,False,False,False,False
World,,2025,Region,Nuclear,False,2810.802,33.402,1.203,8.856,-0.131,14.768,0.187,1.282,0.101,5.254,,,False,False,False,False,False
World,,2025,Region,Other fossil,False,807.113,-31.512,-3.758,2.543,-0.17,532.59,-20.66,-3.734,3.659,659.87,,,False,False,False,False,False
World,,2025,Region,Other renewables,False,89.418,0.978,1.106,0.282,-0.004,3.375,0.037,1.108,0.023,37.744,,,False,False,False,False,False
World,,2025,Region,Renewables,True,10719.014,845.09,8.559,33.772,1.824,426.201,33.692,8.584,2.928,39.761,,,False,False,False,False,False
World,,2025,Region,Solar,False,2781.552,638.844,29.815,8.764,1.831,132.399,30.406,29.812,0.91,47.599,,,False,False,False,False,False
World,,2025,Region,Total generation,True,31739.347,833.233,2.696,100.0,0.0,14553.749,-18.467,-0.127,100.0,458.54,,,False,False,False,False,False
World,,2025,Region,Wind,False,2711.191,203.708,8.124,8.542,0.429,31.753,2.563,8.78,0.218,11.712,,,False,False,False,False,False
World,,2025,Region,Wind and solar,True,5492.743,842.552,18.119,17.306,2.26,164.153,32.97,25.133,1.128,29.885,,,False,False,False,False,False
